sample_id,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
2,1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,1,0,19,0,0,6,6,6,14,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,Graduate
3,1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
4,1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,20,0,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
5,2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,0,45,0,0,6,9,5,12.33333333,0,0,6,6,6,13,0,13.9,-0.3,0.79,Graduate
6,2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,50,0,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
7,1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
8,1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,22,0,0,5,5,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,Dropout
9,1,1,3,10,1,1,15,1,1,10,10,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92,Graduate
10,1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
11,1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,18,0,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
12,1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,0,1,18,0,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,Graduate
13,1,1,2,16,1,1,1,13,27,5,10,1,0,0,1,0,0,19,0,0,6,6,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,Dropout
14,1,17,1,11,1,16,1,1,1,5,8,1,0,0,1,0,1,21,0,0,6,7,6,10.57142857,0,0,6,8,5,11,0,8.9,1.4,3.51,Graduate
15,1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,Graduate
16,1,1,1,15,1,1,1,13,27,10,4,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,Dropout
17,1,9,1,10,1,1,1,13,28,6,9,1,0,0,1,0,0,18,0,0,6,10,1,12,0,0,6,14,2,11,0,10.8,1.4,1.74,Enrolled
18,1,8,2,12,1,1,1,13,1,6,5,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
19,1,1,1,8,1,1,1,3,14,4,6,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
20,1,1,1,16,1,1,1,13,14,8,8,1,0,0,1,0,0,18,0,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
21,1,1,3,2,1,1,1,1,1,10,9,0,0,0,1,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Graduate
22,1,9,4,13,1,1,1,1,28,5,8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
23,1,1,4,12,1,1,1,13,14,2,2,1,0,0,1,0,0,18,0,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,Graduate
24,1,1,4,14,1,1,1,1,28,5,8,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,Graduate
25,1,1,1,12,1,1,1,13,14,4,8,0,0,0,1,0,0,19,0,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,Graduate
26,1,1,1,10,1,1,1,13,28,10,10,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11,0,7.6,2.6,0.32,Enrolled
27,1,8,2,10,1,1,1,13,28,8,9,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,Graduate
28,1,1,1,6,1,1,1,13,14,4,4,1,0,0,1,0,0,18,0,0,5,9,5,12.66666667,2,0,5,7,4,13,0,9.4,-0.8,-3.12,Enrolled
29,1,1,1,9,1,1,1,13,1,10,10,1,0,0,1,0,0,20,0,0,5,6,5,12,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,Graduate
30,1,8,2,12,1,1,1,3,3,2,11,1,0,0,1,1,0,19,0,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,Enrolled
31,1,15,1,4,1,14,1,4,5,5,3,0,0,0,1,1,0,21,0,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,0.3,-0.92,Enrolled
32,1,16,1,5,1,1,1,27,3,16,22,1,0,0,1,1,0,20,0,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
33,1,1,1,9,1,1,1,1,1,5,7,0,0,0,0,1,0,18,0,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
34,1,9,1,3,0,1,1,13,1,10,6,1,0,0,1,0,0,19,0,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
35,1,1,1,17,0,1,1,2,27,4,10,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,Graduate
36,1,12,1,1,1,1,1,23,27,10,7,0,0,1,0,1,0,37,0,0,7,7,0,0,0,0,7,7,1,10,0,8.9,1.4,3.51,Dropout
37,1,12,1,7,1,8,1,19,27,1,1,1,0,0,1,1,0,43,0,0,5,0,0,0,0,0,5,0,0,0,0,7.6,2.6,0.32,Dropout
38,1,14,1,9,1,1,1,22,27,7,7,0,0,0,1,0,0,55,0,0,5,10,1,10,0,0,5,8,2,12,2,16.2,0.3,-0.92,Dropout
39,4,12,1,17,0,1,1,13,14,10,4,1,0,0,1,0,0,39,0,0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
40,1,15,1,8,1,14,3,4,4,4,7,0,0,1,0,0,0,20,1,2,6,13,3,11.66666667,0,1,6,11,3,12,0,12.4,0.5,1.79,Dropout
41,1,1,5,15,1,1,1,3,3,3,3,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7,Dropout
42,1,1,2,9,1,1,1,3,14,3,8,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
43,1,1,6,12,1,1,1,1,3,3,3,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,0.6,2.02,Graduate
44,1,8,1,15,1,1,1,1,28,6,6,0,0,0,0,0,0,20,0,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
45,1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,0,29,0,0,5,0,0,0,0,0,5,0,0,0,0,16.2,0.3,-0.92,Dropout
46,1,8,1,17,0,1,1,23,28,5,6,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,2.6,0.32,Enrolled
47,1,8,2,10,1,1,1,13,14,10,10,1,0,0,1,0,0,18,0,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
48,1,8,6,12,1,1,1,22,14,8,8,1,0,0,1,0,1,22,0,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate
49,1,15,1,3,0,14,1,1,14,10,10,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate
50,1,1,1,10,1,1,1,22,28,10,10,0,0,0,1,0,1,19,0,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,12.7,3.7,-1.7,Graduate
51,1,12,1,11,1,1,1,13,28,10,8,0,0,0,1,0,1,24,0,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate
52,1,1,1,12,1,1,1,22,28,7,7,1,0,0,1,0,1,19,0,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Enrolled
53,1,1,1,15,1,1,1,1,14,8,8,1,0,0,1,0,1,20,0,0,6,11,4,14,0,0,6,12,3,11,0,9.4,-0.8,-3.12,Enrolled
